Reports,No Finding,Enlarged Cardiomediastinum,Cardiomegaly,Lung Lesion,Lung Opacity,Edema,Consolidation,Pneumonia,Atelectasis,Pneumothorax,Pleural Effusion,Pleural Other,Fracture,Support Devices
" No focal air space opacities, pleural effusion, or pneumothorax",1.0,,,,0.0,,,,,0.0,0.0,,,
 There is a stable calcified granuloma in the right lower lobe,,,,,,,,,,,,,,
 A hiatal hernia is present that is unchanged from the prior study,,,,,,,,,,,,,,
 XXXX are grossly unremarkable,1.0,,,,,,,,,,,,,
Heart size and vascularity are normal,1.0,,0.0,,,,,,,,,,,
 Mild tortuosity of the aorta,1.0,,,,,,,,,,,,,
 No focal airspace disease or effusion,1.0,,,,0.0,,,,,,0.0,,,
 Degenerative change of the spine,,,,,,,,,,,,,,
 No pneumothorax,1.0,,,,,,,,,0.0,,,,
Low lung volumes,1.0,,,,,,,,,,,,,
 Heart size normal,1.0,,0.0,,,,,,,,,,,
 No focal airspace consolidations,1.0,,,,,,0.0,,,,,,,
 No pneumothorax or effusions,1.0,,,,,,,,,0.0,0.0,,,
Lungs are clear,1.0,,,,,,,,,,,,,
" No focal consolidation, effusion, or pneumothorax",1.0,,,,,,0.0,,,0.0,0.0,,,
 Interval resolution of left effusion,1.0,,,,,,,,,,0.0,,,
 Central venous dialysis catheter unchanged in position,1.0,,,,,,,,,,,,,1.0
 Heart and mediastinal contours are normal,1.0,0.0,,,,,,,,,,,,
 Osseous structures intact,1.0,,,,,,,,,,,,,
"Heart size, mediastinal contour, and pulmonary vascularity are within normal limits",1.0,0.0,0.0,,,,,,,,,,,
" No focal consolidation, pleural effusion, or pneumothorax is identified",1.0,,,,,,0.0,,,0.0,0.0,,,
 No acute osseous abnormality identified,1.0,,,,,,,,,,,,,
There is a large airspace opacity in the right lower and middle lobes,,,,,1.0,,,,,,,,,
 There is no pneumothorax,1.0,,,,,,,,,0.0,,,,
 Heart size is normal,1.0,,0.0,,,,,,,,,,,
 Soft tissue and bony structures unremarkable,1.0,,,,,,,,,,,,,
The cardiac and mediastinal silhouettes are unremarkable,1.0,0.0,,,,,,,,,,,,
 The lungs are well expanded and clear,1.0,,,,,,,,,,,,,
 There are no focal air space opacities,1.0,,,,0.0,,,,,,,,,
 There is no pneumothorax or effusion,1.0,,,,,,,,,0.0,0.0,,,
 There are calcified hilar lymph XXXX suggesting prior granulomatous disease,,,,,,,,,,,,,,
 The bony structures of the thorax are intact with no evidence of acute osseous abnormality,1.0,,,,,,,,,,,,,
The lungs are clear,1.0,,,,,,,,,,,,,
 There is no focal airspace consolidation,1.0,,,,,,0.0,,,,,,,
 No pleural effusion or pneumothorax,1.0,,,,,,,,,0.0,0.0,,,
 Normal cardiomediastinal silhouette,1.0,0.0,,,,,,,,,,,,
 There are minimal degenerative changes of the spine,,,,,,,,,,,,,,
There is a XXXX 7 XXXX nodular density at the left lung base,,,,1.0,,,,,,,,,,
 Lungs are otherwise clear,1.0,,,,,,,,,,,,,
 The CT scan without IV contrast could be performed for further evaluation,1.0,,,,,,,,,,,,,
 No pleural effusions or pneumothoraces,1.0,,,,,,,,,0.0,0.0,,,
 Heart and mediastinum of normal size and contour,,1.0,,,,,,,,,,,,
 Degenerative changes in the thoracic spine,,,,,,,,,,,,,,
"No focal consolidation, pneumothorax or definite pleural effusion",1.0,,,,,,0.0,,,0.0,0.0,,,
" Heart size and pulmonary vascularity within normal limits, no mediastinal widening characteristic in appearance of vascular injury",1.0,,0.0,,,,,,,,,,,
 Right paratracheal calcifications suggest a previous granulomatous process,,,,,,,,,,,,,,
 No acute osseous injury XXXX demonstrated,1.0,,,,,,,,,,,,,
Heart size and pulmonary vascularity appear within normal limits,1.0,,0.0,,,,,,,,,,,
 The lungs are free of focal airspace disease,1.0,,,,0.0,,,,,,,,,
 No pleural effusion or pneumothorax is seen,1.0,,,,,,,,,0.0,0.0,,,
 Degenerative changes are present in the spine,,,,,,,,,,,,,,
The lungs are clear bilaterally,1.0,,,,,,,,,,,,,
" Specifically, no evidence of focal consolidation, pneumothorax, or pleural effusion",1.0,,,,,,0.0,,,0.0,0.0,,,
 Stable small right basilar calcified granuloma,,,,,,,,,,,,,,
 Cardio mediastinal silhouette is unremarkable,1.0,0.0,,,,,,,,,,,,
 Visualized osseous structures of the thorax are without acute abnormality,1.0,,,,,,,,,,,,,
Mediastinal contours are normal,1.0,0.0,,,,,,,,,,,,
 Blunting of the left costophrenic XXXX,,,,,,,,,,,,,,
 Increased interstitial opacities,,,,,1.0,,,,,,,,,
 There is no pneumothorax or large pleural effusion,1.0,,,,,,,,,0.0,0.0,,,
The heart and lungs have XXXX XXXX in the interval,,,1.0,,,,,,,,,,,
 Both lungs are clear and expanded,1.0,,,,,,,,,,,,,
 Heart and mediastinum normal,1.0,0.0,,,,,,,,,,,,
Heart size within normal limits,1.0,,0.0,,,,,,,,,,,
 No focal airspace disease,1.0,,,,0.0,,,,,,,,,
 No pneumothorax,1.0,,,,,,,,,0.0,,,,
 No effusions,1.0,,,,,,,,,,0.0,,,
 Multiple old right-sided rib fractures again noted,,,,,,,,,,,,,1.0,
Artifact in the region of the central upper abdomen,1.0,,,,,,,,,,,,,
 No focal areas of consolidation,1.0,,,,,,0.0,,,,,,,
 No pleural effusions,1.0,,,,,,,,,,0.0,,,
 No evidence of pneumothorax,1.0,,,,,,,,,0.0,,,,
 Heart size within normal limits,1.0,,0.0,,,,,,,,,,,
 Osseous structures intact,1.0,,,,,,,,,,,,,
Rotated with low lung volumes,1.0,,,,,,,,,,,,,
" Question left atrial enlargement, XXXX appreciated on lateral view",1.0,,,,,,,,,,,,,
 There is no focal consolidation,1.0,,,,,,0.0,,,,,,,
 There are no XXXX of a large pleural effusion,1.0,,,,,,,,,,0.0,,,
 There is no pneumothorax,1.0,,,,,,,,,0.0,,,,
 There is no acute bony abnormality seen,1.0,,,,,,,,,,,,,
Heart size normal,1.0,,0.0,,,,,,,,,,,
" No pneumothorax, large pleural effusion, or focal airspace disease",1.0,,,,0.0,,,,,0.0,0.0,,,
 Bony structures appear intact,1.0,,,,,,,,,,,,,
 Calcified right hilar nodules consistent with chronic granulomatous disease,,,,1.0,,,,,,,,,,
Lungs are clear,1.0,,,,,,,,,,,,,
 No pleural effusions or pneumothoraces,1.0,,,,,,,,,0.0,0.0,,,
 Heart and mediastinum of normal size and contour,,1.0,,,,,,,,,,,,
The heart is normal in size,1.0,,0.0,,,,,,,,,,,
 The mediastinum is unremarkable,1.0,0.0,,,,,,,,,,,,
 The lungs are hypoinflated,1.0,,,,,,,,,,,,,
 Small bilateral pleural effusions are seen,,,,,,,,,,,1.0,,,
"Redemonstration of interstitial opacities, consistent with patient's history of pulmonary fibrosis",,,,,1.0,,,,,,,0.0,,
" Unchanged calcified granulomas at the left greater than right hilum, and in the pretracheal region",,,,,,,,,,,,,,
" No pneumothorax, pleural effusion or focal airspace consolidation",1.0,,,,,,0.0,,,0.0,0.0,,,
 Cardiomediastinal size is the upper limits of normal,1.0,,,,,,,,,,,,,
 Pulmonary vasculature is normal ,1.0,,,,,,,,,,,,,
 XXXX XXXX intact,1.0,,,,,,,,,,,,,
The heart and mediastinum are unremarkable,1.0,0.0,0.0,,,,,,,,,,,
 The lungs are clear without infiltrate,1.0,,,,0.0,,,,,,,,,
 There is no effusion or pneumothorax,1.0,,,,,,,,,0.0,0.0,,,
 There is a mild levoscoliosis of the thoracic spine,,,,,,,,,,,,,,
 There is mild widening of the right acromioclavicular joint which may be postsurgical or posttraumatic in XXXX,1.0,,,,,,,,,,,,,
There is some minimal patchy opacity in left base which may represent atelectasis or scarring,,,,,1.0,,,,-1.0,,,,,
 The lungs are otherwise clear,1.0,,,,,,,,,,,,,
 The heart and mediastinum are normal for age,1.0,0.0,0.0,,,,,,,,,,,
 There is some arthritic changes of the skeletal structures and there has been previous rotator XXXX repair on the right,1.0,,,,,,,,,,,,,
Bilateral emphysematous again noted and lower lobe fibrotic changes,,,,,,,,,,,,,,
" Postsurgical changes of the chest including CABG procedure, stable",1.0,,,,,,,,,,,,,
 Stable valve artifact,1.0,,,,,,,,,,,,,1.0
 There are no focal areas of consolidation,1.0,,,,,,0.0,,,,,,,
 No large pleural effusions,1.0,,,,,,,,,,0.0,,,
 No evidence of pneumothorax,1.0,,,,,,,,,0.0,,,,
 Degenerative changes noted of the visualized thoracic spine,,,,,,,,,,,,,,
" Nodular right lower lobe opacity, XXXX nipple XXXX",,,,,1.0,,,,,,,,,
" Contour abnormality of the posterior aspect of the right 7th rib again noted, stable",,1.0,,,,,,,,,,,,
Bilateral emphysematous again noted and lower lobe fibrotic changes,,,,,,,,,,,,,,
" Postsurgical changes of the chest including CABG procedure, stable",1.0,,,,,,,,,,,,,
 Stable valve artifact,1.0,,,,,,,,,,,,,1.0
 There are no focal areas of consolidation,1.0,,,,,,0.0,,,,,,,
 No large pleural effusions,1.0,,,,,,,,,,0.0,,,
 No evidence of pneumothorax,1.0,,,,,,,,,0.0,,,,
 Degenerative changes noted of the visualized thoracic spine,,,,,,,,,,,,,,
" Nodular right lower lobe opacity, XXXX nipple XXXX",,,,,1.0,,,,,,,,,
" Contour abnormality of the posterior aspect of the right 7th rib again noted, stable",,1.0,,,,,,,,,,,,
Normal heart size,1.0,,0.0,,,,,,,,,,,
 Clear lungs,1.0,,,,,,,,,,,,,
 Multilevel degenerative disc disease with mild dextrocurvature near the thoracolumbar junction,,,,,,,,,,,,,,
The heart is normal in size,1.0,,0.0,,,,,,,,,,,
 The mediastinum is unremarkable,1.0,0.0,,,,,,,,,,,,
 The lungs are grossly clear,1.0,,,,,,,,,,,,,
 Bilateral breast prostheses are noted,1.0,,,,,,,,,,,,,
"Heart size within normal limits, stable mediastinal and hilar contours",,1.0,0.0,,,,,,,,,,,
" No focal alveolar consolidation, no definite pleural effusion seen",1.0,,,,,,0.0,,,,0.0,,,
 No typical findings of pulmonary edema,1.0,,,,,0.0,,,,,,,,
Stable calcified granulomas,,,,,,,,,,,,,,
 The trachea is midline,1.0,,,,,,,,,,,,,
" Negative for pneumothorax, pleural effusion or focal airspace consolidation",1.0,,,,,,0.0,,,0.0,0.0,,,
 The heart size is normal,1.0,,0.0,,,,,,,,,,,
"Stable enlargement of the cardiac silhouette, stable mediastinal and hilar contours, surgical clips and CABG markers",,-1.0,1.0,,,,,,,,,,,1.0
 Stable XXXX densities in the left base compatible with scarring or chronic subsegmental atelectasis,,,,,-1.0,,,,-1.0,,,,,
" No focal alveolar consolidation, no definite pleural effusion seen",1.0,,,,,,0.0,,,,0.0,,,
 Right hilar calcifications suggest a previous granulomatous process,,,,,,,,,,,,,,
 No typical findings of pulmonary edema,1.0,,,,,0.0,,,,,,,,
Cardiac and mediastinal contours are within normal limits,1.0,0.0,,,,,,,,,,,,
 The lungs are clear,1.0,,,,,,,,,,,,,
 Bony structures are intact,1.0,,,,,,,,,,,,,
Mediastinal contours are within normal limits,1.0,0.0,,,,,,,,,,,,
 Heart size is within normal limits,1.0,,0.0,,,,,,,,,,,
" No focal consolidation, pneumothorax or pleural effusion",1.0,,,,,,0.0,,,0.0,0.0,,,
 No bony abnormality,1.0,,,,,,,,,,,,,
" Vague density in right mid lung, XXXX related to scapular tip and superimposed ribs",,,,,,,,,,,,,,
 Not visualized on lateral exam,1.0,,,,,,,,,,,,,
"Lungs are clear without focal consolidation, effusion, or pneumothorax",1.0,,,,,,0.0,,,0.0,0.0,,,
 Normal heart size,1.0,,0.0,,,,,,,,,,,
 Bony thorax and soft tissues grossly unremarkable,1.0,,,,,,,,,,,,,
 Negative for pneumoperitoneum,1.0,,,,,,,,,,,,,
"Lungs are clear without focal consolidation, effusion, or pneumothorax",1.0,,,,,,0.0,,,0.0,0.0,,,
 Normal heart size,1.0,,0.0,,,,,,,,,,,
 Bony thorax and soft tissues grossly unremarkable,1.0,,,,,,,,,,,,,
 Negative for pneumoperitoneum,1.0,,,,,,,,,,,,,
"There is a left subphrenic crescentic lucency, this is concerning for pneumoperitoneum",,,,,,,,,,,,,,
 There are low lung volumes and bilateral moderate to large pleural effusions with bibasilar atelectasis/airspace disease that are larger in size in comparison to the prior exam,,,,,-1.0,,,,-1.0,,1.0,,,
 No pneumothorax,1.0,,,,,,,,,0.0,,,,
 Heart size upper limits of normal,,,1.0,,,,,,,,,,,
 The left central venous catheter tip overlies the lower SVC,1.0,,,,,,,,,,,,,1.0
 The feeding tube has been placed in the interval and extends below the diaphragm and below the XXXX-of-view,1.0,,,,,,,,,,,,,1.0
The lungs are clear,1.0,,,,,,,,,,,,,
" There is no focal consolidation, pleural effusion, or pneumothorax",1.0,,,,,,0.0,,,0.0,0.0,,,
 The Heart and mediastinum are normal size and shape,1.0,0.0,0.0,,,,,,,,,,,
 XXXX and soft tissues are unremarkable,1.0,,,,,,,,,,,,,
 Probable nerve stimulator noted,1.0,,,,,,,,,,,,,
Lungs are clear,1.0,,,,,,,,,,,,,
 There is no pneumothorax or pleural effusion,1.0,,,,,,,,,0.0,0.0,,,
 The heart and mediastinum are within normal limits,1.0,0.0,0.0,,,,,,,,,,,
 Bony structures are intact,1.0,,,,,,,,,,,,,
Normal heart size,1.0,,0.0,,,,,,,,,,,
 Tortuosity of the thoracic aorta,1.0,,,,,,,,,,,,,
 The lungs are free of any focal airspace disease,1.0,,,,0.0,,,,,,,,,
 There is no pneumothorax or pleural effusion,1.0,,,,,,,,,0.0,0.0,,,
 Degenerative changes are present in the spine,,,,,,,,,,,,,,
The cardiomediastinal silhouette is within normal limits for size and contour,1.0,0.0,,,,,,,,,,,,
" The lungs are normally inflated without evidence of focal airspace disease, pleural effusion, or pneumothorax",1.0,,,,0.0,,,,,0.0,0.0,,,
 Osseous structures are within normal limits for patient age,1.0,,,,,,,,,,,,,
The trachea is midline,1.0,,,,,,,,,,,,,
 The cardiomediastinal silhouette is normal,1.0,0.0,,,,,,,,,,,,
" The lungs are clear, without evidence of acute infiltrate or effusion",1.0,,,,0.0,,,,,,0.0,,,
 There is no evidence of tuberculous disease,1.0,,,,,,,,,,,,,0.0
 There is no pneumothorax,1.0,,,,,,,,,0.0,,,,
 Visualized bony structures reveal no acute abnormalities,1.0,,,,,,,,,,,,,
The cardiomediastinal silhouette and pulmonary vasculature are within normal limits in size,1.0,0.0,,,,,,,,,,,,
" The lungs are clear of focal airspace disease, pneumothorax, or pleural effusion",1.0,,,,0.0,,,,,0.0,0.0,,,
 There is no definite evidence of acute fracture,1.0,,,,,,,,,,,,0.0,
Lungs are clear,1.0,,,,,,,,,,,,,
 No focal infiltrate or effusion,1.0,,,,0.0,,,,,,0.0,,,
 No pneumothorax,1.0,,,,,,,,,0.0,,,,
 Heart and mediastinal contours within normal limits,,1.0,,,,,,,,,,,,
 Visualized osseous structures intact,1.0,,,,,,,,,,,,,
The Heart size is normal,1.0,,0.0,,,,,,,,,,,
 Cardiomediastinal silhouette is normal in contour,1.0,0.0,,,,,,,,,,,,
 The lungs are clear bilaterally,1.0,,,,,,,,,,,,,
 Lateral views obscured by patient body habitus,1.0,,,,,,,,,,,,,
 There is no evidence of apical disease,1.0,,,,,,,,,,,,,
 XXXX are unchanged from previous exam and appear normal,1.0,,,,,,,,,,,,,
 Thoracic spine shows osteophyte formations at several levels,1.0,,,,,,,,,,,,,
The cardiomediastinal silhouette is within normal limits for size and contour,1.0,0.0,,,,,,,,,,,,
" The lungs are normally inflated without evidence of focal airspace disease, pleural effusion, or pneumothorax",1.0,,,,0.0,,,,,0.0,0.0,,,
 Cholecystectomy clips overlie the right upper quadrant,1.0,,,,,,,,,,,,,
 No acute bone abnormality,1.0,,,,,,,,,,,,,
The cardiomediastinal silhouette is within normal limits for size and contour,1.0,0.0,,,,,,,,,,,,
" The lungs are normally inflated without evidence of focal airspace disease, pleural effusion, or pneumothorax",1.0,,,,0.0,,,,,0.0,0.0,,,
 Cholecystectomy clips overlie the right upper quadrant,1.0,,,,,,,,,,,,,
 No acute bone abnormality,1.0,,,,,,,,,,,,,
Sternotomy XXXX appear intact,1.0,,,,,,,,,,,,,
 Borderline heart size,,,-1.0,,,,,,,,,,,
 Aortic calcification noted,,,,,,,,,,,,,,
 Calcified mediastinal lymph XXXX unchanged,,,,,,,,,,,,,,
" Negative for focal pulmonary consolidation, pleural effusion, or pneumothorax",1.0,,,,,,0.0,,,0.0,0.0,,,
 There is hyperexpansion of the lungs with flattening of the diaphragms,,,,,,,,,,,,,,
 Degenerative changes are present in the spine,,,,,,,,,,,,,,
Lungs are clear,1.0,,,,,,,,,,,,,
 There is no pneumothorax or pleural effusion,1.0,,,,,,,,,0.0,0.0,,,
 The heart and mediastinum are within normal limits,1.0,0.0,0.0,,,,,,,,,,,
 Bony structures are intact,1.0,,,,,,,,,,,,,
Lungs are clear,1.0,,,,,,,,,,,,,
 There is no pneumothorax or pleural effusion,1.0,,,,,,,,,0.0,0.0,,,
 The heart and mediastinum are within normal limits,1.0,0.0,0.0,,,,,,,,,,,
 Bony structures are intact,1.0,,,,,,,,,,,,,
There are postoperative changes of sternotomy,1.0,,,,,,,,,,,,,
 There is cardiomegaly,,,1.0,,,,,,,,,,,
" The contour of the ascending aorta is prominent, consistent with known ascending aortic aneurysm",,1.0,,,,,,,,,,,,
 The lungs appear clear,1.0,,,,,,,,,,,,,
 No focal airspace consolidation,1.0,,,,,,0.0,,,,,,,
 No pleural effusion or pneumothorax,1.0,,,,,,,,,0.0,0.0,,,
 There are minimal degenerative changes of the spine,,,,,,,,,,,,,,
There are postoperative changes of sternotomy,1.0,,,,,,,,,,,,,
 There is cardiomegaly,,,1.0,,,,,,,,,,,
" The contour of the ascending aorta is prominent, consistent with known ascending aortic aneurysm",,1.0,,,,,,,,,,,,
 The lungs appear clear,1.0,,,,,,,,,,,,,
 No focal airspace consolidation,1.0,,,,,,0.0,,,,,,,
 No pleural effusion or pneumothorax,1.0,,,,,,,,,0.0,0.0,,,
 There are minimal degenerative changes of the spine,,,,,,,,,,,,,,
There are postoperative changes of sternotomy,1.0,,,,,,,,,,,,,
 There is cardiomegaly,,,1.0,,,,,,,,,,,
" The contour of the ascending aorta is prominent, consistent with known ascending aortic aneurysm",,1.0,,,,,,,,,,,,
 The lungs appear clear,1.0,,,,,,,,,,,,,
 No focal airspace consolidation,1.0,,,,,,0.0,,,,,,,
 No pleural effusion or pneumothorax,1.0,,,,,,,,,0.0,0.0,,,
 There are minimal degenerative changes of the spine,,,,,,,,,,,,,,
Heart size is within normal limits,1.0,,0.0,,,,,,,,,,,
 Emphysematous changes,,,,,,,,,,,,,,
 Focal pleural thickening in the left apex is XXXX scarring,,,,,1.0,,,,,,,1.0,,
 Atherosclerotic calcifications of the aortic XXXX,,,,,,,,,,,,,,
 There is no focal infiltrate,1.0,,,,0.0,,,,,,,,,
 No pneumothorax or pleural effusion,1.0,,,,,,,,,0.0,0.0,,,
Mediastinal contours are normal,1.0,0.0,,,,,,,,,,,,
 Heart size is within normal limits,1.0,,0.0,,,,,,,,,,,
" Multiple scattered calcified pulmonary nodules, XXXX sequela of prior granulomatous disease",,,,1.0,,,,,,,,,,
 Otherwise lungs are clear,1.0,,,,,,,,,,,,,
 There is no pneumothorax or large pleural effusion,1.0,,,,,,,,,0.0,0.0,,,
 No bony abnormality,1.0,,,,,,,,,,,,,
The lungs remain hyperexpanded,1.0,,,,,,,,,,,,,
 No XXXX infiltrates or masses,1.0,,,0.0,0.0,,,,,,,,,
 Heart and mediastinum are normal,1.0,0.0,,,,,,,,,,,,
Heart size and mediastinal contour within normal limits,,1.0,0.0,,,,,,,,,,,
" No focal airspace consolidation, pneumothorax, or large pleural effusion",1.0,,,,,,0.0,,,0.0,0.0,,,
 Degenerative changes of thoracic spine,,,,,,,,,,,,,,
The heart size is normal,1.0,,0.0,,,,,,,,,,,
 The mediastinal contour is within normal limits,1.0,0.0,,,,,,,,,,,,
 The lungs are free of any focal infiltrates,1.0,,,,0.0,,,,,,,,,
 There are no nodules or masses,1.0,,,0.0,,,,,,,,,,
 No visible pneumothorax,1.0,,,,,,,,,0.0,,,,
 No visible pleural fluid,1.0,,,,,,,,,,0.0,,,
 The XXXX are grossly normal,1.0,,,,,,,,,,,,,
 There is no visible free intraperitoneal air under the diaphragm,1.0,,,,,,,,,,,,,
The heart size is normal,1.0,,0.0,,,,,,,,,,,
 The mediastinal contour is within normal limits,1.0,0.0,,,,,,,,,,,,
 The lungs are free of any focal infiltrates,1.0,,,,0.0,,,,,,,,,
 There are no nodules or masses,1.0,,,0.0,,,,,,,,,,
 No visible pneumothorax,1.0,,,,,,,,,0.0,,,,
 No visible pleural fluid,1.0,,,,,,,,,,0.0,,,
 The XXXX are grossly normal,1.0,,,,,,,,,,,,,
 There is no visible free intraperitoneal air under the diaphragm,1.0,,,,,,,,,,,,,
The cardiac contours are normal,1.0,0.0,0.0,,,,,,,,,,,
 The lungs are clear,1.0,,,,,,,,,,,,,
 Thoracic spondylosis,1.0,,,,,,,,,,,,,
Heart size is within normal limits,1.0,,0.0,,,,,,,,,,,
 No focal airspace consolidations,1.0,,,,,,0.0,,,,,,,
 No pneumothorax or pleural effusion,1.0,,,,,,,,,0.0,0.0,,,
Cardiac silhouette within normal limits,1.0,,0.0,,,,,,,,,,,
 No edema or airspace consolidation,1.0,,,,,0.0,0.0,,,,,,,
 No pneumothorax,1.0,,,,,,,,,0.0,,,,
 No pleural effusion,1.0,,,,,,,,,,0.0,,,
No focal consolidation,1.0,,,,,,0.0,,,,,,,
 No pneumothorax,1.0,,,,,,,,,0.0,,,,
 No pleural effusions,1.0,,,,,,,,,,0.0,,,
 Heart size normal,1.0,,0.0,,,,,,,,,,,
 Cardio mediastinal silhouette is unremarkable,1.0,0.0,,,,,,,,,,,,
On the right there is marked narrowing of the hip joint space uniformly throughout,1.0,,,,,,,,,,,,,
 Osteophyte formation is present with some sclerosis and subchondral cyst formation vertically along the superior acetabulum and femoral head,1.0,,,,,,,,,,,,,
 I do not see evidence for fracture or destructive process,,,,,,,,,,,,,-1.0,
 AP view of the femur shows no femoral XXXX destructive process or other significant abnormality,1.0,,,,,,,,,,,,,
 For of the Left hip shows near-complete obliteration of the joint space with severe subchondral sclerosis and cystic formation in both the superior acetabulum and superior aspect of the femoral head,1.0,,,,,,,,,,,,,
 No fracture or destructive process is identified,1.0,,,,,,,,,,,,0.0,
 Surgical markers were XXXX in the images and left hip for the purpose of surgical planning,1.0,,,,,,,,,,,,,1.0
 PA and lateral chest show the lungs to be clear,1.0,,,,,,,,,,,,,
 There may be some hyperinflation,,,,,,,,,,,,,,
 No pleural effusion is identified,1.0,,,,,,,,,,0.0,,,
 The heart is normal in size,1.0,,0.0,,,,,,,,,,,
 There are calcified mediastinal lymph XXXX,,,,,,,,,,,,,,
 The skeletal structures appear normal,1.0,,,,,,,,,,,,,
The lungs appear clear,1.0,,,,,,,,,,,,,
 No evidence of focal pneumonia,1.0,,,,,,,0.0,,,,,,
 The heart and pulmonary XXXX are normal,1.0,,0.0,,,,,,,,,,,
 There is suture material at the left apex suggesting prior lung surgery,1.0,,,,,,,,,,,,,
 In the pleural spaces are clear,1.0,,,,,,,,,,,,,
 Mediastinal contours appear normal,1.0,0.0,,,,,,,,,,,,
The lungs appear clear,1.0,,,,,,,,,,,,,
 No evidence of focal pneumonia,1.0,,,,,,,0.0,,,,,,
 The heart and pulmonary XXXX are normal,1.0,,0.0,,,,,,,,,,,
 There is suture material at the left apex suggesting prior lung surgery,1.0,,,,,,,,,,,,,
 In the pleural spaces are clear,1.0,,,,,,,,,,,,,
 Mediastinal contours appear normal,1.0,0.0,,,,,,,,,,,,
There is stable mild cardiac enlargement,,,1.0,,,,,,,,,,,
 Lungs are clear,1.0,,,,,,,,,,,,,
 There is no pleural line to suggest pneumothorax or costophrenic XXXX blunting to suggest large pleural effusion,,,,,,,,,,0.0,1.0,,,0.0
 Bony structures are within normal limits,1.0,,,,,,,,,,,,,
There are low lung volumes with associated bronchovascular crowding and basilar subsegmental atelectasis,,,,,,,,,1.0,,,,,
 There is stable prominence of the right cardiac silhouette,,,1.0,,,,,,,,,,,
 The mediastinum is unremarkable,1.0,0.0,,,,,,,,,,,,
" There is no pleural effusion, pneumothorax, or focal airspace disease",1.0,,,,0.0,,,,,0.0,0.0,,,
 There are stable chronic degenerative changes of the thoracic spine,,,,,,,,,,,,,,
PA and lateral radiograph the chest demonstrate stable cardiomediastinal silhouette,,-1.0,,,,,,,,,,,,
" No focal consolidation, large pleural effusion, or pneumothorax is identified",1.0,,,,,,0.0,,,0.0,0.0,,,
 Evidence of prior granulomatous disease,,,,,,,,,,,,,,
 Visualized osseous structures appear intact,1.0,,,,,,,,,,,,,
There is a calcified granuloma left midlung,,,,,,,,,,,,,,
 There is round density within the anterior segment of the right upper lobe,,,,,,,,,,,,,,
 There are prominent interstitial opacities which may represent changes associated with fibrosis,,,,,1.0,,,,,,,1.0,,
 Heart size is normal,1.0,,0.0,,,,,,,,,,,
 No pneumothorax,1.0,,,,,,,,,0.0,,,,
" anterior segment of upper lobe, rounded focal density",,,,,,,,,,,,,,
 could be XXXX lung nodule,,,,-1.0,,,,,,,,,,
The lungs are clear,1.0,,,,,,,,,,,,,
 The heart and pulmonary XXXX are normal,1.0,,0.0,,,,,,,,,,,
 The pleural spaces are clear,1.0,,,,,,,,,,,,,
 Mediastinal contours are normal,1.0,0.0,,,,,,,,,,,,
 Bony overlap in the lung apices could obscure a small pulmonary nodule,,,,-1.0,,,,,,,,,,
The cardiac and mediastinal contours are normal,1.0,0.0,,,,,,,,,,,,
 The lungs are well-inflated and clear,1.0,,,,,,,,,,,,,
" There is no focal consolidation, pneumothorax or effusion",1.0,,,,,,0.0,,,0.0,0.0,,,
 No acute bony abnormalities are seen,1.0,,,,,,,,,,,,,
 No radiopaque foreign bodies are present,1.0,,,,,,,,,,,,,
The lungs and pleural spaces show no acute abnormality,1.0,,,,,,,,,,,,,
 Heart size and pulmonary vascularity within normal limits,1.0,,0.0,,,,,,,,,,,
" Mild tortuosity of the thoracic aorta, unchanged",1.0,,,,,,,,,,,,,
The cardiomediastinal silhouette is normal size and configuration,1.0,0.0,,,,,,,,,,,,
 Pulmonary vasculature within normal limits,1.0,,,,,,,,,,,,,
 The lungs are well-aerated,1.0,,,,,,,,,,,,,
" There is no pneumothorax, pleural effusion, or focal consolidation",1.0,,,,,,0.0,,,0.0,0.0,,,
Mild cardiomegaly,,,1.0,,,,,,,,,,,
 Mild unfolding of the thoracic aorta,1.0,,,,,,,,,,,,,
 No focal air space opacity,1.0,,,,0.0,,,,,,,,,
 No pleural effusion or pneumothorax,1.0,,,,,,,,,0.0,0.0,,,
 Visualized osseous structures are unremarkable in appearance,1.0,,,,,,,,,,,,,
There is a approximately 4 cm opacity with one XXXX margin and the other ill-defined in the lateral lower left lung is seen on the PA view,,,,,1.0,,,,,,,,,
 This is not definitely seen on the lateral view,1.0,,,,,,,,,,,,,
 There is no pneumothorax or pleural effusion,1.0,,,,,,,,,0.0,0.0,,,
 The cardiac silhouette is within normal limits,1.0,,0.0,,,,,,,,,,,
 There are T-spine osteophytes,1.0,,,,,,,,,,,,,
 There is no pneumothorax or pleural effusion,1.0,,,,,,,,,0.0,0.0,,,
 There are calcified hilar lymph XXXX there,,,,,,,,,,,,,,
Heart size and pulmonary vascularity appear within normal limits,1.0,,0.0,,,,,,,,,,,
 The lungs are free of focal airspace disease,1.0,,,,0.0,,,,,,,,,
 No pleural effusion or pneumothorax is seen,1.0,,,,,,,,,0.0,0.0,,,
 There is eventration of the right hemidiaphragm,,,,,,,,,,,,,,
 Degenerative changes are present in the spine,,,,,,,,,,,,,,
Normal cardiomediastinal contours,1.0,0.0,,,,,,,,,,,,
 Right lower lung patchy opacities,,,,,1.0,,,,,,,,,
 Small right pneumothorax,,,,,,,,,,1.0,,,,
